timestamp,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta,,odom_error_x,odom_error_y,odom_error_pos,odom_error_theta
50.62,1.16549279054654,2.01276469000624,-2.93892978930137,1.02338608102598,1.94177189268001,-2.75224872651439,,0.142106709520563,0.0709927973262272,0.158853058399781,0.186681062786987
50.64,1.16536591217137,2.01336503770397,-2.92711121350069,1.02338566295298,1.9417717211496,-2.73856531970703,,0.141980249218387,0.0715933165543721,0.159009415266423,0.188545893793659
50.66,1.16523467177153,2.01395197404517,-2.91552720482724,1.02338566302774,1.94177172118147,-2.72131755372917,,0.141849008743792,0.0721802528637037,0.159157564020893,0.194209651098066
50.68,1.16509907808032,2.01452726091531,-2.9041431207626,1.02338566309919,1.9417717212134,-2.7049882649931,,0.14171341498113,0.072755539701908,0.159298652043669,0.199154855769496
50.7,1.16495912593707,2.0150923573355,-2.89293010495062,1.02338566309919,1.9417717212134,-2.7049882649931,,0.141573462837882,0.0733206361220975,0.159433249547446,0.187941839957517
50.72,1.16481536719804,2.01564634299666,-2.88190650965468,1.02338566316193,1.94177172124268,-2.69087776921766,,0.141429704036117,0.0738746217539878,0.15956133906131,0.191028740437018
50.74,1.16466823090551,2.01618888290769,-2.87107931542767,1.02338566321341,1.94177172126759,-2.67942874540905,,0.141282567692102,0.0744171616400993,0.159683054455512,0.191650570018621
50.76,1.16451831702678,2.01671908773961,-2.86046681012055,1.02338566321341,1.94177172126759,-2.66761448936892,,0.141132653813375,0.0749473664720177,0.159798415866669,0.192852320751626
50.78,1.16436556733378,2.01723838558245,-2.85004101976265,1.02338566326965,1.94177172129644,-2.6554221082146,,0.140979904064131,0.0754666642860082,0.15990794466939,0.194618911548051
50.8,1.16420995037024,2.01774789654154,-2.83977993884425,1.0233856633415,1.94177172133441,-2.64000742012477,,0.140824287028742,0.075976175207122,0.160012058971369,0.199772518719481
50.82,1.16405127084744,2.01824908380525,-2.82965443080908,1.02338566341276,1.94177172137349,-2.62489897334595,,0.140665607434675,0.0764773624317572,0.160111211598328,0.204755457463128
50.84,1.16388975714376,2.01874193580996,-2.81966499667895,1.02338566347034,1.9417717214062,-2.6127917390953,,0.140504093673418,0.0769702144037543,0.160205537495895,0.206873257583653
50.86,1.16372658711168,2.01922367663574,-2.80986851702663,1.02338566347034,1.9417717214062,-2.6127917390953,,0.140340923641346,0.0774519552295387,0.160294666840119,0.197076777931335
50.88,1.16356164945141,2.01969549886218,-2.80024160428924,1.0233856635535,1.9417717214548,-2.59564442106303,,0.140175985897903,0.0779237774073809,0.160378995220335,0.204597183226218
50.9,1.16339438000612,2.02015968530832,-2.79073826913033,1.02338566358695,1.94177172147512,-2.58199384593624,,0.140008716419172,0.0783879638332057,0.160459071252641,0.208744423194081
50.92,1.16322539828866,2.02061510674241,-2.78138216175567,1.02338566358695,1.94177172147512,-2.58199384593624,,0.13983973470171,0.0788433852672956,0.160534827379768,0.19938831581943
50.94,1.16305523220255,2.02106099125047,-2.772189939847,1.02338566366092,1.94177172152145,-2.56715334809171,,0.139669568541624,0.0792892697290177,0.160606278428847,0.205036591755283
50.96,1.16288379474888,2.02149819239672,-2.76314486696768,1.02338566372409,1.94177172156234,-2.55458346679191,,0.139498131024784,0.079726470834381,0.160673702612198,0.208561400175777
50.98,1.16271173392715,2.02192566787773,-2.75426945041405,1.02338566378925,1.94177172160569,-2.54185700105989,,0.139326070137899,0.0801539462720371,0.160737080112373,0.212412449354169
51,1.16253846287598,2.02234543039121,-2.74552280386582,1.02338566378925,1.94177172160569,-2.54185700105989,,0.139152799086725,0.0805737087855214,0.160796840892862,0.203665802805931
51.02,1.16236446872829,2.02275678622584,-2.73692018916786,1.02338566382653,1.94177172163117,-2.52749255014886,,0.138978804901762,0.0809850645946668,0.16085300401088,0.209427639019008
51.04,1.16218971535438,2.02316029811457,-2.72845071456991,1.02338566387696,1.94177172166673,-2.50831439504014,,0.138804051477426,0.0813885764478362,0.160905764603861,0.220136319529771
51.06,1.16201321427607,2.02355860186874,-2.72005961508331,1.02338566387696,1.94177172166673,-2.50831439504014,,0.13862755039911,0.0817868802020123,0.160955557539453,0.211745220043173
51.08,1.1618361758869,2.02394929931207,-2.71179797830085,1.02338566395703,1.94177172172551,-2.49327125397116,,0.138450511929869,0.082177577586553,0.161002169276183,0.218526724329694
51.1,1.16165835832053,2.02433329991084,-2.70364736028354,1.02338566395703,1.94177172172551,-2.49327125397116,,0.138272694363501,0.0825615781853237,0.161045807765969,0.210376106312384
51.12,1.16148147368828,2.02470734499694,-2.69567803487952,1.0233856640482,1.94177172179458,-2.47650424725927,,0.138095809640081,0.0829356232023628,0.16108621988275,0.219173787620251
51.14,1.16130372967463,2.02507562662456,-2.68780173940014,1.0233856640482,1.94177172179458,-2.47650424725927,,0.137918065626425,0.0833039048299742,0.161123968999203,0.211297492140864
51.16,1.16112672477757,2.02543518361879,-2.68008273617738,1.02338566408846,1.94177172182616,-2.46191567325399,,0.137741060689109,0.0836634617926346,0.16115884908651,0.218167062923387
51.18,1.16094930482176,2.02578871349699,-2.67246412875331,1.02338566408846,1.94177172182616,-2.46191567325399,,0.137563640733297,0.0840169916708311,0.161191222283399,0.21054845549932
51.2,1.16077271396531,2.02613406373184,-2.66499328056533,1.0233856641704,1.94177172189238,-2.447352740664,,0.137387049794909,0.0843623418394588,0.161220985519834,0.217640539901326
51.22,1.16059694949134,2.02647160891383,-2.6576633259875,1.02338566421436,1.94177172192897,-2.43961645678161,,0.137211285276978,0.0846998869848623,0.161248279564802,0.218046869205893
51.24,1.16042285128481,2.02680011817572,-2.65050237083635,1.02338566428331,1.94177172198728,-2.42778788646456,,0.137037187001503,0.0850283961884461,0.161273118589753,0.222714484371792
