timestamp,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta,ekf_x,ekf_y,ekf_theta,odom_error_x,odom_error_y,odom_error_pos,odom_error_theta,ekf_error_x,ekf_error_y,ekf_error_pos,ekf_error_theta
72.04,-0.454478352895186,-1.3350284625658184,-1.9427375072890267,-0.4334190703972331,-1.3980292343611023,-1.9044316129834653,,,,0.021059282497952914,0.06300077179528385,0.06642733342630892,0.038305894305561417,,,,
72.06,-0.4559272498394679,-1.3387562156031698,-1.942836082395297,-0.43546975183591846,-1.403945940404644,-1.904591683792324,,,,0.020457498003549457,0.06518972480147411,0.0683242961490066,0.03824439860297302,,,,
72.08,-0.45737656817755434,-1.3424838128506442,-1.942933572717165,-0.43546975183591846,-1.403945940404644,-1.904591683792324,,,,0.021906816341635882,0.06146212755399971,0.06524953429481543,0.03834188892484103,,,,
72.1,-0.45882631446407673,-1.3462112551583432,-1.943029742263682,-0.43778610673693924,-1.4106257220922325,-1.9047682869610616,,,,0.021040207727137494,0.0644144669338893,0.06776366202898287,0.03826145530262037,,,,
72.12,-0.4602764816284311,-1.3499385380472693,-1.943124620307727,-0.44016985647384643,-1.4174959336098025,-1.9049460159814149,,,,0.020106625154584667,0.06755739556253326,0.07048601329554371,0.03817860432631215,,,,
72.14,-0.4617270434373167,-1.3536656772956461,-1.9432186774713103,-0.44016985647384643,-1.4174959336098025,-1.9049460159814149,,,,0.021557186963470254,0.0638302563141564,0.06737220443854361,0.03827266148989539,,,,
72.16,-0.4631780427175718,-1.357392652893646,-1.9433109248933882,-0.4423560796477935,-1.423793239045066,-1.905105156409974,,,,0.020821963069778293,0.06640058615142008,0.06958873462947412,0.03820576848341428,,,,
72.18,-0.46462942789134454,-1.361119487000445,-1.9434023374591012,-0.4423560796477935,-1.423793239045066,-1.905105156409974,,,,0.02227334824355104,0.062673752044621,0.0665139176212703,0.03829718104912727,,,,
72.2,-0.4660812337896367,-1.3648461672325076,-1.9434920925407386,-0.44427818610138087,-1.4293269271016447,-1.9052416165735282,,,,0.021803047688255806,0.06448075986913704,0.06806718212029693,0.03825047596721043,,,,
72.22,-0.4675334443319151,-1.3685726970450056,-1.943580407829754,-0.4462673531176447,-1.4350511602577956,-1.9053796360336746,,,,0.02126609121427042,0.06647846321278994,0.0697970823650096,0.0382007717960795,,,,
72.24,-0.46898603899749397,-1.3722990866449118,-1.9436676103094128,-0.44739499427139146,-1.4382947333906126,-1.9054563605974661,,,,0.021591044726102515,0.0659956467457008,0.06943773183038086,0.03821124971194667,,,,
72.26,-0.47043904775469636,-1.3760253243314933,-1.9437529697898157,-0.4486555780150933,-1.4419198089243224,-1.9055404902410364,,,,0.021783469739603045,0.0658944845928291,0.06940174820313097,0.038212479548779266,,,,
72.28,-0.47189244494299454,-1.379751421897495,-1.9438368973972742,-0.45064645618037635,-1.4476434485092242,-1.905671461285827,,,,0.021245988762618184,0.06789202661172933,0.07113873288124453,0.03816543611144718,,,,
72.3,-0.4733461897122837,-1.3834773898042996,-1.943920115287788,-0.45064645618037635,-1.4476434485092242,-1.905671461285827,,,,0.02269973353190735,0.06416605870492464,0.06806291936247985,0.03824865400196109,,,,
72.32,-0.4748002967460759,-1.3872032210735092,-1.9440022487904802,-0.45243891995306185,-1.4527944858880053,-1.9057875570358858,,,,0.02236137679301403,0.06559126481449606,0.0692982336863249,0.038214691754594465,,,,
72.34,-0.4762547677118468,-1.3909289170693613,-1.9440831967869125,-0.4546968502002116,-1.459280717049446,-1.905930716121821,,,,0.021557917511635216,0.06835179998008467,0.07167086135910444,0.03815248066509147,,,,
72.36,-0.47770957553892046,-1.3946544894326045,-1.94416343387779,-0.4546968502002116,-1.459280717049446,-1.905930716121821,,,,0.02301272533870885,0.06462622761684145,0.06860127421191717,0.038232717755968926,,,,
72.38,-0.4791647427274,-1.3983799257747918,-1.944242411333419,-0.4568892729440881,-1.4655758657196998,-1.9060669050861958,,,,0.022275469783311908,0.06719593994490802,0.07079188441584902,0.0381755062472231,,,,
72.4,-0.48062024362733496,-1.4021052385365926,-1.9443205950448308,-0.4582185316017121,-1.4693909206579054,-1.9061476621751958,,,,0.022401712025622855,0.0672856821213128,0.07091685074937613,0.03817293286963497,,,,
72.42,-0.4820761164396164,-1.4058304147845344,-1.944397109797891,-0.4593486638747186,-1.472633627646049,-1.9062149858911563,,,,0.022727452564897777,0.06680321286151458,0.07056349161365605,0.03818212390673459,,,,
72.44,-0.4835323455262361,-1.4095554622879793,-1.9444721698533969,-0.4613434020379468,-1.4783559227493464,-1.9063318995810978,,,,0.02218894348828926,0.06880046046136701,0.07229005860298233,0.03814027027229905,,,,
72.46,-0.48498889226457415,-1.4132803924786295,-1.944546457933485,-0.4613434020379468,-1.4783559227493464,-1.9063318995810978,,,,0.02364549022662732,0.06507553027071689,0.0692382397817313,0.038214558352387185,,,,
72.48,-0.4864457587373833,-1.4170052017728294,-1.9446198543283575,-0.46373789063502197,-1.4852223969717346,-1.9064701116834566,,,,0.02270786810236136,0.06821719519890523,0.07189737821756632,0.0381497426449009,,,,
72.74,-0.5054127329413479,-1.4654174100682804,-1.945489793423593,-0.47992465716038224,-1.5315627159621568,-1.9073169748737895,,,,0.02548807578096568,0.06614530589387635,0.07088613051091676,0.03817281854980359,,,,
72.76,-0.506873744226264,-1.4691406771379625,-1.945550219721759,-0.4827928183322103,-1.5397615158404279,-1.9074527378936015,,,,0.02408092589405364,0.07062083870246538,0.07461363046357238,0.03809748182815742,,,,
72.78,-0.5083349925157549,-1.472863855899005,-1.9456104210218659,-0.4827928183322103,-1.5397615158404279,-1.9074527378936015,,,,0.02554217418354454,0.06689765994142283,0.07160795743254221,0.0381576831282644,,,,
72.8,-0.5097965133003745,-1.4765869309296085,-1.9456696105337203,-0.4853284561075557,-1.5470066229325026,-1.9075701418737625,,,,0.02446805719281875,0.07041969200289411,0.07454943892862989,0.038099468659957836,,,,
72.82,-0.5112582700676855,-1.4803099182361932,-1.9457284969669895,-0.4853284561075557,-1.5470066229325026,-1.9075701418737625,,,,0.025929813960129833,0.0666967046963094,0.0715598048442954,0.03815835509322696,,,,
72.84,-0.5127203096457907,-1.484032798907473,-1.9457860558174764,-0.48739769661362475,-1.5529168621375953,-1.9076633162928789,,,,0.025322613032165986,0.0688840632301222,0.07339106824313361,0.03812273952459755,,,,
72.86,-0.5141826015819934,-1.4877555877069664,-1.9458428531544965,-0.48739769661362475,-1.5529168621375953,-1.9076633162928789,,,,0.026784904968368606,0.06516127443062891,0.07045156364189706,0.03817953686161757,,,,
72.88,-0.5156451493218579,-1.4914782827864037,-1.945898736220996,-0.4873643597001967,-1.560801461740673,-1.9077622927850038,,,,0.028280789621661195,0.0693231789542692,0.07486992855579797,0.03813644343599232,,,,
72.9,-0.5171079366287136,-1.4952008861784662,-1.9459539698424666,-0.48876687163999033,-1.5648049001248547,-1.9078224293279495,,,,0.02834106498872324,0.06960401394638849,0.07515274261225652,0.03813154051451706,,,,
